ENSMUSG00000037025	Foxa2
ENSMUSG00000005836	Gata6
ENSMUSG00000027168	Pax6
ENSMUSG00000025902	Sox17
ENSMUSG00000021944	Gata4
ENSMUSG00000029337	Fgf5
ENSMUSG00000062327	T
ENSMUSG00000024659	Anxa1
ENSMUSG00000032231	Anxa2
ENSMUSG00000029484	Anxa3
ENSMUSG00000023043	Krt18
ENSMUSG00000020911	Krt19
ENSMUSG00000023039	Krt7
ENSMUSG00000049382	Krt8
ENSMUSG00000036030	Prtg
ENSMUSG00000069833	Ahnak
ENSMUSG00000021057	Akap5
ENSMUSG00000013076	Amotl1
ENSMUSG00000001349	Cnn1
ENSMUSG00000004665	Cnn2
ENSMUSG00000020423	Btg2
ENSMUSG00000029761	Cald1
ENSMUSG00000028270	Gbp2
ENSMUSG00000028173	Wls
ENSMUSG00000015619	Gata3
ENSMUSG00000029646	Cdx2
