sample	pseudotime
B01	0.160000704834874
C01	-0.142023052350288
D01	0.147195758150041
E01	-0.13504779992884
G01	-0.00765281571714524
A02	-0.0209915880792797
B02	-0.151147660563016
C02	-0.0971201747167501
E02	0.182863832538726
F02	0.116303690227091
G02	-0.143567563986531
H02	-0.0766803226704021
A03	0.0861379312775905
B03	-0.117965450747847
C03	-0.147778556083532
D03	0.0114507120246813
E03	0.053496909783951
F03	0.282450284767462
G03	-0.0317061127458835
H03	-0.0139266848044189
A04	0.0335682003786561
C04	0.0572728724193192
D04	-0.140710478440049
E04	-0.142825981920555
F04	-0.138438055939249
H04	0.109520322840517
A05	0.0988910165089666
B05	0.00472413311438569
C05	0.126307119418584
D05	0.0933413230622796
E05	-0.0949247587524649
F05	0.0654705818694376
G05	-0.0958421053416108
H05	-0.0220672344578612
A06	-0.089346650951395
B06	0.138764400441469
C06	0.0011371714079719
D06	0.152773680746544
E06	0.0641904502661803
F06	0.13721061580671
G06	0.116800578049941
H06	0.168877884048291
A07	-0.150516439513521
B07	0.0176246823898376
C07	-0.0137059081425037
D07	0.120290729640422
E07	-0.163269264120496
F07	-0.109642767959871
G07	-0.204807314325708
H07	-0.144526874730788
A08	-0.0146722762119616
B08	-0.184254340995729
C08	-0.0998414869447202
D08	-0.132928973093938
E08	0.085622869591473
F08	-0.129436107577639
G08	0.239878199738481
H08	0.122405122202928
A09	0.00451179578048388
B09	0.114045735972198
C09	-0.0489993590391633
D09	-0.0513183736006608
E09	-0.00574590779436781
F09	-0.213981954651399
G09	-0.0751338073041116
H09	0.208241091885618
B12	0.0514145657510722
C12	0.126600881076867
D12	0.0542378867020761
